key;en
STAGE_FOREST;Forest
LORE_FOREST;The journey begins here.
STAGE_CAVERN;Cavern
LORE_CAVERN;Power through the darkness.
STAGE_DESERT;Desert
LORE_DESERT;Endure the blistering sun.
STAGE_STRAND;Strand
LORE_STRAND;Stand at the edge of tomorrow.
STAGE_OCEAN;Ocean
LORE_OCEAN;Wade into the endless blue.
STAGE_TROPICS;Tropics
LORE_TROPICS;Arrive somewhere new.
STAGE_VOLCANO;Volcano
LORE_VOLCANO;Surmount the molten core.
STAGE_WILDS;Wilds
LORE_WILDS;March across dust and bones.
STAGE_ARCTIC;Arctic
LORE_ARCTIC;Drift ever toward subzero.
STAGE_BRINK;Brink
LORE_BRINK;In pursuit of the void.
STAGE_ITEM_SHOP;Item Shop
LORE_ITEM_SHOP;Spend coins to buy items.
