key;en
OVERVIEW_MORALITY;Morality: {morality}
OVERVIEW_MASTERY_ACTIVATIONS;Mastery activations: {activations}
OVERVIEW_CHAIN_VALUE;Chain value: {value}
OVERVIEW_CHAIN_LENGTH;Chain length: {length}
OVERVIEW_CHAIN_SUM;Chain sum: {sum}
OVERVIEW_PATHFINDING;Pathfinding: {pathfinding}%
OVERVIEW_RARE_LOOT_MODIFIER;Rare loot modifier: {modifier}%
OVERVIEW_CHESTS_OPENED;Chests opened: {chests}
OVERVIEW_MONSTERS_KILLED;Monsters killed: {monsters}
SCORE;Score
POINTS_ABBR;pts
CELLS_OPENED_SINCE_MISTAKE;Cells opened since last mistake
MORALITY;Morality
CHAIN_LENGTH;Chain length
TURNS;turns
CHAIN_VALUE;Chain value
CHAIN_SUM;Chain sum
CHESTS_OPENED;Chests opened
MONSTERS_KILLED;Monsters killed
XP;XP
MASTERY_ACHIEVED;mastery achieved!
TREASURE_FOUND;treasure found!
LIVES_HOVER;LIVES
LIVES_HOVER_SUBTEXT;Make sure you have at least 1.
DEFENSE_HOVER;DEFENSE
DEFENSE_HOVER_SUBTEXT;Reduces incoming damage to a minimum of 1.
COINS_HOVER;COINS
COINS_HOVER_SUBTEXT;Spend money at shops.
OBJECT_OFF_WORLD;Oops, your {object} fell off the world!
OBJECT_TYPE_CELL_CHEST;chest
ARMOR_TYPE_HEAD;head
ARMOR_TYPE_BODY;body
ARMOR_TYPE_LEG;leg
OVERVIEW_RESEARCH_SUBJECT;"You are an expert at finding ""{subject}"" items."
RESEARCH_KILL;KILL
FAMILIAR;Familiar
FAMILIAR_DESCRIPTION;Moves in a random direction each turn, revealing cells and picking up loot for you. Avoids flagged cells.
FAMILIAR_STRONG_DESCRIPTION;Moves in a random direction each turn, revealing cells and picking up loot for you. This familiar is also strong enough to kill monsters!
LORE_LOCKED;You may purchase this quest from the Token Shop.
LORE_LOCKED_CASUAL;You must complete the previous quest to unlock this one.
LORE_TUTORIAL;Learn the basics of DemonCrawl!
LORE_GLORY_DAYS;The king has tasked you with the delivery of an important message to a land across the great waters. Use your renowned tracking skills to avoid the monsters along the way!
LORE_RESPITES_END;Years have gone by in the flash of an eye. The glory days are long behind you. How exactly did your adventure end? What lay beyond the brink? It seems you've grown a bit fuzzy on the details. Regardless, there are more pressing matters to attend to - your quiet farm life has been interrupted by a strange new evil!
LORE_ANOTHER_WAY;Despite your best efforts, the kingdom has fallen. Shadows run rampant across the lands. Some say you never really made it out of that dungeon. But you and I both know that's not true, right? You're awake now, in a strange place. Let the real adventure begin.
LORE_AROUND_THE_BEND;It's becoming more difficult to distinguish between reality and fiction. Know this, my friend: the machine is real. It powers our world. Not many have seen behind the curtain... many don't want to. They are afraid to learn what lies below.
LORE_SHADOWMAN;You're still here, are you? Desperate for the truth? Well, don't say I didn't warn you. When you get to the very end, and see what lies on the other side, just remember that we were trying to protect you. If you have any sense, you'll turn back now.
LORE_ENDLESS_MULTIVERSE;Infinite variations. One destination. Delay the inevitable annihilation of your soul for as long as you can.
LORE_HERO_TRIALS;Put your mettle to the test with a new adventure every day! Can you survive these wartorn lands?
LOCKED;Locked
QUEST_TUTORIAL;Tutorial
QUEST_GLORY_DAYS;Glory Days
QUEST_RESPITES_END;Respite's End
QUEST_ANOTHER_WAY;Another Way
QUEST_AROUND_THE_BEND;Around the Bend
QUEST_SHADOWMAN;Shadowman
QUEST_ENDLESS_MULTIVERSE;Endless Multiverse
QUEST_HERO_TRIALS;Hero Trials
STAGE_PROPERTY_SPECIAL;SPECIAL STAGE!
STAGE_PROPERTY_COMPLETE;STAGE COMPLETE!
STAGE_LORE_LOCKED;Play more stages to reveal this stage.
STAGE_FOREST;Forest
LORE_FOREST;The journey begins here.
STAGE_CAVERN;Cavern
LORE_CAVERN;Power through the darkness.
STAGE_DESERT;Desert
LORE_DESERT;Endure the blistering sun.
STAGE_STRAND;Strand
LORE_STRAND;Stand at the edge of tomorrow.
STAGE_OCEAN;Ocean
LORE_OCEAN;Wade into the endless blue.
STAGE_TROPICS;Tropics
LORE_TROPICS;Arrive somewhere new.
STAGE_VOLCANO;Volcano
LORE_VOLCANO;Surmount the molten core.
STAGE_WILDS;Wilds
LORE_WILDS;March across dust and bones.
STAGE_ARCTIC;Arctic
LORE_ARCTIC;Drift ever toward subzero.
STAGE_BRINK;Brink
LORE_BRINK;In pursuit of the void.
STAGE_ITEM_SHOP;Item Shop
LORE_ITEM_SHOP;Spend coins to buy items.
