key;en
stage.lagoon.sign;10,000 BC
stage.machine;Machine
stage.machine.description;You suffer for our amusement.
stage.machine.sign;"congratulate_hero(you);delusion++;"
stage.mainframe;Mainframe
stage.mainframe.description;A peek behind the glass.
stage.mainframe.sign;SECRET STAGE 05
stage.memory;Memory
stage.memory.description;Come from dust.
stage.memory.sign;NOTHING IS REAL
stage.metagate;Metagate
stage.metagate.description;Leave this world behind.
stage.metagate.sign;None
stage.metropolis;Metropolis
stage.metropolis.description;The world of tomorrow.
stage.metropolis.sign;ALL CITIZENS ARE REQUIRED TO STAY WITHIN CITY LIMITS
stage.minefield;Minefield
stage.minefield.description;The other side.
stage.minefield.sign;TAKE COVER!
stage.mountain;Mountain
stage.mountain.description;Ascend and discover.
stage.mountain.sign;HUMANS NO WELCOME
stage.ocean;Ocean
stage.ocean.description;Wade into the endless blue.
stage.ocean.sign;TIP: SWIM
stage.october-8-th-1990;October 8th 1990
stage.october-8-th-1990.description;It begins
stage.october-8-th-1990.sign;...
stage.prefecture;Prefecture
stage.prefecture.description;Dare to look behind the curtain.
stage.prefecture.sign;OBEY
stage.quarry;Quarry
stage.quarry.description;Beyond the place where whispers linger.
stage.quarry.sign;BEWARE OF DOG
stage.r;R
stage.r.description;Zone data not found.
stage.r.sign;ILIAACTFI
stage.rapture;Rapture
stage.rapture.description;Nothing lasts forever.
stage.rapture.sign;THIS IS IT! END TIMES ARE HERE! PLEASE EVACUATE IN AN ORDERLY FASHION
stage.reef;Reef
stage.reef.description;What lies beneath the ocean?
stage.reef.sign;SECRET STAGE 01
stage.ruins;Ruins
stage.ruins.description;Centuries of history compressed into stone.
stage.ruins.sign;BEWARE ...
stage.salem;Salem
stage.salem.description;Who will burn at the stake?
stage.salem.sign;Witch population: 0
stage.sewer;Sewer
stage.sewer.description;What have you found?
stage.sewer.sign;LEAVE THIS PLACE WHILE YOU STILL CAN
stage.shrine;Shrine
stage.shrine.description;Return to dust.
stage.shrine.sign;AND NOW... WE BECOME ONE WITH GOD
stage.skies;Skies
stage.skies.description;Keep your head above the clouds.
stage.skies.sign;WAKE UP
stage.storm;Storm
stage.storm.description;Over the thunder of denial.
stage.storm.sign;LIGHTNING WAS HERE.
stage.strand;Strand
stage.strand.description;Stand at the edge of tomorrow.
stage.strand.sign;THE OLD WORLD ENDS HERE
stage.summer;Summer
stage.summer.description;Soak up some sun!
stage.summer.sign;ENJOY YOUR STAY!
stage.swamp;Swamp
stage.swamp.description;The foyer of wickedness.
stage.swamp.sign;DANGER: FROGS
stage.the-basement;The Basement
stage.the-basement.sign;YOU WILL NOT MAKE IT OUT OF HERE ALIVE
stage.tower;Tower
stage.tower.description;The answers within.
stage.tower.sign;IT WILL BE OK
stage.tribe;Tribe
stage.tribe.description;Council between life and death.
stage.tribe.sign;THE ANCESTORS WELCOME YOU
stage.tropics;Tropics
stage.tropics.description;Arrive somewhere new.
stage.tropics.sign;THIS SIGN IS WRITTEN IN ANOTHER LANGUAGE
stage.vale;Vale
stage.vale.description;Beyond a place of grassy knolls.
stage.vale.sign;IT GETS DARKER.
stage.volcano;Volcano
stage.volcano.description;Surmount the molten core.
stage.volcano.sign;THIS VOLCANO COULD ERUPT AT ANY MOMENT!
stage.wester;Wester
stage.wester.description;Dark side of the egg...
stage.wester.sign;This part of town ain't safe for eggs
stage.wilds;Wilds
stage.wilds.description;March across dust and bones.
stage.wilds.sign;<- VOLCANO THAT WAY
stage.womb;Womb
stage.womb.description;A light at the end of the tunnel.
stage.womb.sign;DON'T ASK HOW I MANAGED TO GET THE SIGN IN HERE
stage.wonder;Wonder
stage.wonder.description;You little wonder, you...
stage.wonder.sign;SECRET STAGE 03
