key;en
quest.shadowman.lore;You're still here, are you? Desperate for the truth? Well, don't say I didn't warn you. When you get to the very end, and see what lies on the other side, just remember that we were trying to protect you. If you have any sense, you'll turn back now.
quest.endless-multiverse;Endless Multiverse
quest.endless-multiverse.lore;Infinite variations. One destination. Delay the inevitable annihilation of your soul for as long as you can.
quest.hero-trials;Hero Trials
quest.hero-trials.lore;Put your mettle to the test with a new adventure every day! Can you survive these wartorn lands?

stage.reward.victory;Victory
stage.reward.victory.subtext;You beat the stage.
stage.reward.flagless;Flagless
stage.reward.untouchable;Untouchable
stage.reward.untouchable.subtext;You took no damage.
stage.reward.fast;Fast
stage.reward.thrifty;Thrifty
stage.reward.thrifty.subtext;You skipped three or more special stages.
stage.reward.charitable;Charitable
stage.reward.charitable.subtext;You left some loot behind. How kind of you!
stage.reward.heartless;Heartless

stats.lives.hover.text;LIVES
stats.lives.hover.subtext;Make sure you have at least 1.
stats.defense.hover.text;DEFENSE
stats.defense.hover.subtext;Reduces incoming damage to a minimum of 1.
stats.coins.hover.text;COINS
stats.coins.hover.subtext;Spend money at shops.
stats.overview.header;YOUR OVERVIEW
stats.overview.score;Score: {score} pts
stats.overview.cells-opened-since-mistake;Cells opened since last mistake: {cells}
stats.overview.morality;Morality: {morality}
stats.overview.mastery-activations;Mastery activations: {activations}
stats.overview.chain-value;Chain value: {value}
stats.overview.chain-length;Chain length: {length}
stats.overview.chain-sum;Chain sum: {sum}
stats.overview.pathfinding;Pathfinding: {pathfinding}%
stats.overview.powerchording;Powerchording: {powerchording}%
stats.overview.rare-loot-modifier;Rare loot modifier: {modifier}%
stats.overview.chests-opened;Chests opened: {chests}
stats.overview.monsters-killed;Monsters killed: {monsters}
stats.overview.research-subject;"You are an expert at finding ""{subject}"" items."

popup.mastery-achieved.title;mastery achieved!
popup.mastery-achieved.text;A new Mastery is available in the Token Shop:
popup.chest.title;treasure found!

stage.special.item-shop;Item Shop
stage.special.item-shop.description;Spend coins to buy items. 
stage.special.item-shop.text;CHOOSE AN ITEM:
stage.special.item-shop.confirm;BUY NOW!
stage.special.item-shop.leave;LEAVE

stage.special.bazaar;Bazaar
stage.special.bazaar.description;Buy, sell & trade items.
stage.special.bazaar.buy;BUY:
stage.special.bazaar.sell;SELL:
stage.special.bazaar.trade;TRADE:
stage.special.bazaar.confirm;ACCEPT OFFER
stage.special.bazaar.leave;LEAVE

research.kill;Kill

object.monster;Monster
object.treasure-chest;Treasure Chest
object.coin;Coin
object.diamond;Diamond
object.heart;Heart
object.familiar;Familiar
object.familiar.description;Moves in a random direction each turn, revealing cells and picking up loot for you. Avoids flagged cells.
object.familiar.strong.description;Moves in a random direction each turn, revealing cells and picking up loot for you. Avoids flagged cells.
object.token;Token
object.token.spawned;A token has spawned!
object.mage;Mage
object.bagman;Bagman
object.nomad;Nomad
object.blacksmith;Blacksmith
object.mercenary;Mercenary
object.priest;Priest
object.doctor;Doctor
object.waterboy;Waterboy
object.pyro;Pyro
object.hungry-plant;Hungry Plant
object.elder;Elder
object.gambler;Gambler
object.scribe;Scribe

aura.burning;Burning
aura.sanctified;Sanctified
