key;en
item.blood-golem;Blood Golem
item.blood-golem.description;Every 100 cells you open, gain 1 soul.
item.blood-magic.divine;Divine Blood Magic
item.blood-magic.divine.description;Kill a random visible monster and gain 200 mana.
item.blood-magic;Blood Magic
item.blood-magic.description;Gain 50 mana and lose 1 life.
item.blood-oil;Blood Oil
item.blood-oil.description;When you enter a stage, increase the monster count by 10.
item.bloodbank;Bloodbank
item.bloodbank.description;When you complete a stage, gain 1 max life for every diamond or chest left behind.
item.bloodcoil;Bloodcoil
item.bloodcoil.description;For 3 turns, any monster damage you would take heals you instead.
item.bloomberries.divine;Divine Bloomberries
item.bloomberries.divine.description;Gain 3 max lives.
item.bloomberries;Bloomberries
item.bloomberries.description;Gain 1 max life.
item.blowpipe;Blowpipe
item.blowpipe.description;Kill target visible monster. It will drop an item.
item.blue-dye;Blue Dye
item.blue-dye.description;You will only find magic items until you gain a magic item.
item.blue-egg;Blue Egg
item.blue-egg.description;You must have 3 or more magic items to open this egg!
item.blueberry;Blueberry
item.blueberry.description;Duplicast your magic items, then manalock them for 20 turns.
item.bomb;Bomb
item.bomb.description;Explode target numbered cell in a 3x3 area.
item.bomb.divine;Divine Bomb
item.bomb.divine.description;Explode all visible cells of value 5 and greater, and all nearby cells.
item.bone-baton;Bone Baton
item.bone-baton.description;Convert all visible loot to Bones.
item.bone-baton.divine;Divine Bone Baton
item.bone-baton.divine.description;Gain Bones. While charged, you can bury Bones in hidden cells to reveal them.
item.bone-casket;Bone Casket
item.bone-casket.description;Item chests also contain Bones. If you are not injured when you bury Bones, gain souls instead of restoring life.
item.bones;Bones
item.bones.description;Bury in a random cell to give it Sanctified, then restore lives equal to the cell's value.
item.bonfire;Bonfire
item.bonfire.description;Burn target sign, then fully heal by passing a number of turns equal to your missing lives, restoring 1 life per turn.
item.bonfire.divine;Divine Bonfire
item.bonfire.divine.description;Burn target sign and gain 3 souls.
item.book-of-combat;Book of Combat
item.book-of-combat.description;Pick up hearts at full life to kill a random monster, revealing it if necessary.
item.book-of-defense;Book of Defense
item.book-of-defense.description;Pick up hearts at full life to gain defense.
item.book-of-espionage;Book of Espionage
item.book-of-espionage.description;Pick up hearts at full life to glean a random hidden cell.
item.book-of-faith;Book of Faith
item.book-of-faith.description;You are immune to omens. Destroy this item after 333 turns. Pick up hearts at full life to extend this effect by 50 turns.
item.book-of-ghosts;Book of Ghosts
item.book-of-ghosts.description;Pick up hearts at full life to spawn 3 Spookers.
item.book-of-gold;Book of Gold
item.book-of-gold.description;Pick up hearts at full life to gain 10 coins.
item.book-of-husbandry;Book of Husbandry
item.book-of-husbandry.description;Pick up hearts at full life to gain a Minion.
item.book-of-love;Book of Love
item.book-of-love.description;Pick up hearts at full life to gain a soul.
item.book-of-maps;Book of Maps
item.book-of-maps.description;Pick up hearts at full life to gain 1% pathfinding.
item.book-of-mastery;Book of Mastery
item.book-of-mastery.description;Collect hearts at full life to gain a mastery charge.
item.book-of-maths;Book of Maths
item.book-of-maths.description;Randomizes all numbers shown in tooltips.
item.book-of-necromancy;Book of Necromancy
item.book-of-necromancy.description;Pick up hearts at full life to gain Bones.
item.book-of-rage;Book of Rage
item.book-of-rage.description;Pick up hearts at full life to gain 1% powerchording.
item.book-of-spells;Book of Spells
item.book-of-spells.description;Pick up hearts at full life to gain 100 mana.
item.book-of-truth;Book of Truth
item.book-of-truth.description;Pick up hearts at full life to solve a random cell.
item.bookworm-doll;Bookworm Doll
item.bookworm-doll.description;Gain a random Book item for every 3 mastery charges at the start of each stage, and when your ultimate ability is activated.
item.bookworm's-memento;Bookworm's Memento
item.bookworm's-memento.description;Keep your research subject and any items related to it for the next dimension.
item.boom-bow;Boom Bow
item.boom-bow.description;Reveal target cell if it's not already open. If the cell has a monster, 300 mana is returned to this item and the monster will explode in a 5x5 area after 10 turns.
item.boomerang;Boomerang
item.boomerang.description;Solve a random cell. It explodes. After you open 40 cells, gain Boomerang.
item.boomerang.divine;Divine Boomerang
item.boomerang.divine.description;Blow up a 3x3 area around a random hidden cell. After you open 50 cells, gain Boomerang.
item.borrowed-time;Borrowed Time
item.borrowed-time.description;Every 5 minutes, lose half of your lives.
item.brain-in-a-vat.divine;Divine Brain in a Vat
item.brain-in-a-vat.divine.description;Automatically discharges when you have to guess.
item.brain-in-a-vat;Brain in a Vat
item.brain-in-a-vat.description;Tells you whether you must make a guess to proceed.
item.brainsap;Brainsap
item.brainsap.description;Lose 5 coins whenever a cell becomes unflagged.
item.brainwash;Brainwash
item.brainwash.description;Convert all visible monsters to familiars.
item.brass-knuckles;Brass Knuckles
item.brass-knuckles.description;For the next 10 turns, you can powerchord any cell.
item.breadcrumbs;Breadcrumbs
item.breadcrumbs.description;Gain 3% pathfinding. Solve all cells near visible cells with a value equal to one-tenth of your pathfinding or less.
item.broken-chain;Broken Chain
item.broken-chain.description;50% chance to break your chain each turn.
item.broken-heart;Broken Heart
item.broken-heart.description;Your restore life effects are reduced by 1.
item.broken-mirror;Broken Mirror
item.broken-mirror.description;50% chance to negate item effects.
item.broken-pocket;Broken Pocket
item.broken-pocket.description;You cannot use items that you have more than one of.
item.broken-rib;Broken Rib
item.broken-rib.description;Your defense is capped to the minimum stage power.
item.broken-sawblade;Broken Sawblade
item.broken-sawblade.description;After opening 50 cells, spawn a Sawblade.
item.bronze-boots;Bronze Boots
item.bronze-boots.description;[2 Leg Armor] Basic leg armor.
item.bronze-chestplate;Bronze Chestplate
item.bronze-chestplate.description;[5 Body Armor] Basic body armor.
item.bronze-helmet;Bronze Helmet
item.bronze-helmet.description;[3 Head Armor] Basic head armor.
item.brotherhood-crest;Brotherhood Crest
item.brotherhood-crest.description;Mercenaries are more common and cost half as much. Before hiring, you may right click on a Mercenary to relocate him to a random cell for 1 coin.
item.bubble-boots;Bubble Boots
item.bubble-boots.description;[1 Leg Armor] Every 50 cells opened, bubble all of your armor if you just clicked on a 3 or greater.
item.bubble-chestplate;Bubble Chestplate
item.bubble-chestplate.description;[6 Body Armor] Fortify whenever you pop a bubble.
item.bubble-helmet;Bubble Helmet
item.bubble-helmet.description;[2 Head Armor] Fortify whenever you pop a bubble. If this armor survives damage, bubble it.
item.bubble-rod;Bubble Rod
item.bubble-rod.description;Trap all visible objects in bubbles.
item.bubble-solution;Bubble Solution
item.bubble-solution.description;Trap all visible objects on numbered cells in bubbles, then restore 1 life for each object trapped this way.
item.bubble-wrap;Bubble Wrap
item.bubble-wrap.description;Bubble the last item in your inventory, as long as it isn't Bubble Wrap.
item.bubble-wrap.divine;Divine Bubble Wrap
item.bubble-wrap.divine.description;Bubble 5 random items that aren't Bubble Wrap.
item.bubbler-doll;Bubbler Doll
item.bubbler-doll.description;Duplicate random bubbles equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.bubbler's-memento;Bubbler's Memento
item.bubbler's-memento.description;Bring up to 5 bubbles into the next dimension.
item.buckshot;Buckshot
item.buckshot.description;Projectiles have a 50% chance to pierce.
item.bugle;Bugle
item.bugle.description;Spawn familiars on the visible cell or cells with the highest value.
item.bugle.divine;Divine Bugle
item.bugle.divine.description;Spawn familiars on all visible cells of value 3 or greater and pass a turn.
item.bullet-time;Bullet Time
item.bullet-time.description;Projectiles and orbs travel slowly.
item.bunny-doll;Bunny Doll
item.bunny-doll.description;Spawn a Rabbit when your ultimate ability is activated.
item.bunny-ears;Bunny Ears
item.bunny-ears.description;[1 Head Armor] When equipped, fortify by your number of Easter eggs. Gain an additional token for every egg you put into an Egg Basket.
item.burning-boots;Burning Boots
item.burning-boots.description;[2 Leg Armor] Burning cells do not hurt you. Fortify whenever an object is destroyed by Burning.
item.burnt-marshmallow;Burnt Marshmallow
item.burnt-marshmallow.description;Burning cells deal 1 additional point of life loss. Every 50 turns, lose your first consumable item and apply Burning to a random cell.
item.bust;Bust
item.bust.description;Spawners are more common. Strangers are no longer killed when a Spawner breaks.
item.butter;Butter
item.butter.description;Drop all of your items on the ground.
item.butterfly-amulet;Butterfly Amulet
item.butterfly-amulet.description;Whenever you take monster damage, gain 3% evasion.
item.caliper;Caliper
item.caliper.description;You can see information about locked stages.
item.calling-card;Calling Card
item.calling-card.description;Spawn a random stranger. If you have at least 50 coins, spawn 3 random strangers instead.
item.caltrops;Caltrops
item.caltrops.description;Spawn a Sawblade. Until your next mistake, your Sawblades can reveal flagged cells. If the flagged cell was empty, your Sawblade loses 1 lifespan.
item.candelabra;Candelabra
item.candelabra.description;Automatically discharges when the sum of your chain is 5 or greater. Gain a Candle, then reveal cells equal to your number of Candles.
item.candle;Candle
item.candle.description;Reveal a number of random cells equal to the visible cell with the highest value.
item.candy;Candy
item.candy.description;25% chance to spawn a heart during the next 10 turns.
item.canteen;Canteen
item.canteen.description;Remove all status effects.
item.capitalism;Capitalism
item.capitalism.description;If you spend at least 25 coins in an Item Shop, it remains open.
item.capitalism.divine;Divine Capitalism
item.capitalism.divine.description;If you spend coins in an Item Shop, it remains open.
item.cardboard-box;Cardboard Box
item.cardboard-box.description;Lose your mastery, coins, and all of your items. Get them back at the start of the next stage.
item.cardiac-arrest;Cardiac Arrest
item.cardiac-arrest.description;When you enter a stage, set your max lives to your lives.
item.cattle-prod;Cattle Prod
item.cattle-prod.description;Relocate target object to a random visible cell.
item.cauldron.divine;Divine Cauldron
item.cauldron.divine.description;Destroy a random omen and gain Witches Brew.
item.cauldron;Cauldron
item.cauldron.description;Destroy 2 random omens and gain a random magic item.
item.caustic-wand;Caustic Wand
item.caustic-wand.description;Whenever you target a cell with an item, take damage equal to the value of the cell.
item.celestial-scarab;Celestial Scarab
item.celestial-scarab.description;Whenever you discover a cell of value 6 or greater, gain 2 souls.
item.chain-whip;Chain Whip
item.chain-whip.description;Your familiars move extra times equal to the length of your chain. You can powerchord any cell as long as the length of your chain is 6 turns or greater.
item.chainmail;Chainmail
item.chainmail.description;[1 Body Armor] Fortify whenever the length of your chain becomes greater than this item's durability.
item.chainsaw.divine;Divine Chainsaw
item.chainsaw.divine.description;Kill target visible monster or stranger, spawn a number of Sawblades equal to the cell's value, then set the lifespan of your Sawblades to your chain length.
item.chainsaw;Chainsaw
item.chainsaw.description;Spawn a Sawblade on target empty cell and set its lifespan to the length of your chain.
item.chaos-portal;Chaos Portal
item.chaos-portal.description;Uncompletes or unlocks a random stage. Manalock for 50 turns.
item.charge-coin;Charge Coin
item.charge-coin.description;When you enter an Item Shop, cut the prices in half.
item.chastity-belt;Chastity Belt
item.chastity-belt.description;You cannot gain max life.
item.cheap-imitation;Cheap Imitation
item.cheap-imitation.description;All legendary items are transformed into passive items that are worth less.
item.chef's-hat;Chef's Hat
item.chef's-hat.description;[1 Head Armor] Whenever you consume an item, gain coins equal to half its value.
item.chemical-rainbow;Chemical Rainbow
item.chemical-rainbow.description;Aura types are randomized.
item.chew-toy;Chew Toy
item.chew-toy.description;Every 60 turns, transform a Minion into a Big Minion or gain a Minion if you don't have any.
item.chisel;Chisel
item.chisel.description;Upgrade target loot.
item.chocolate;Chocolate
item.chocolate.description;25% chance to gain 50 mana during the next 10 turns.
item.chocolate.divine;Divine Chocolate
item.chocolate.divine.description;25% chance to fully charge a random magic item during the next 10 turns.
item.chromatic-boots;Chromatic Boots
item.chromatic-boots.description;[3 Leg Armor] Every 30 turns, fortify by 1 if you just clicked on a cell with a value equal to the number of stage mods.
item.chromatic-chestplate;Chromatic Chestplate
item.chromatic-chestplate.description;[7 Body Armor] When you enter a stage, fortify by the number of stage mods.
item.chromatic-choker;Chromatic Choker
item.chromatic-choker.description;Monsters attack additional times equal to the number of stage mods.
item.chromatic-helmet;Chromatic Helmet
item.chromatic-helmet.description;[4 Head Armor] Whenever this takes damage, fortify by 1 if there are any stage mods.
item.clarity;Clarity
item.clarity.description;Flag a number of monsters equal to the current stage's max power.
item.claw;Claw
item.claw.description;Monsters have a 50% chance to attack an extra time.
item.clay-figurine;Clay Figurine
item.clay-figurine.description;While charged, all chests contain Soft Clay.
item.cleansing-bell;Cleansing Bell
item.cleansing-bell.description;When you complete a stage, your omens have a 50% chance to transform into a random item.
item.climbing-claws;Climbing Claws
item.climbing-claws.description;Whenever you discover a cell of value 6 or greater, gain 2% evasion.
item.cloning-chamber;Cloning Chamber
item.cloning-chamber.description;At the end of each stage, duplicate all visible objects.
item.closed-sign;Closed Sign
item.closed-sign.description;After you purchase an item from an Item Shop, immediately leave.
item.cloud-dagger;Cloud Dagger
item.cloud-dagger.description;Gain 5% evasion. When you evade a monster, kill it.
item.clusterbang;Clusterbang
item.clusterbang.description;Launch 3 Sawblades.
item.coal;Coal
item.coal.description;You cannot gain morality. Whenever you lose morality, you get burnt.
item.cobra-totem;Cobra Totem
item.cobra-totem.description;Enchant target visible cell, apply Toxic to it: each turn, increase the value by 1. If it's 10 or greater, kill monsters in this quadrant equal to the number of Toxic cells in this quadrant, then reset the value.
item.coffee;Coffee
item.coffee.description;Every 10 turns, restore 1 life until you have full life.
item.coffee.divine;Divine Coffee
item.coffee.divine.description;Until you make a mistake, restore 2 lives whenever you discover a cell of value 4 or greater.
item.comeuppance;Comeuppance
item.comeuppance.description;Whenever you collect loot, spawn a Canker in its place.
item.comforter;Comforter
item.comforter.description;Before entering a stage, remove a random stage mod.
item.commander-doll;Commander Doll
item.commander-doll.description;Spawn familiars equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.commander's-memento;Commander's Memento
item.commander's-memento.description;Increase your life cap for the next dimensions by the number of Familiars in the Metagate.
item.compass;Compass
item.compass.description;Solve a random cell.
item.contagion;Contagion
item.contagion.description;Chests have an additional 10% chance to contain Contagion.
item.cooties;Cooties
item.cooties.description;Enchant target visible cell: each turn, kill any living object in this cell and apply this enchantment to a random nearby cell.
item.cornucopia;Cornucopia
item.cornucopia.description;If you are injured, loot may drop in cells with a value greater than 0.
item.crown-of-thorns;Crown of Thorns
item.crown-of-thorns.description;[6 Head Armor] Whenever this takes damage, kill the attacking monster.
item.crucible;Crucible
item.crucible.description;Automatically discharges when you spend coins. Gain one-tenth of the coins spent as defense, rounded down.
item.crucifix;Crucifix
item.crucifix.description;Whenever damage reduces your life to 1, gain a revive.
item.cryomancy;Cryomancy
item.cryomancy.description;When you target a cell with an item, it gains Frozen. When you complete a stage, gain 1 soul for each Frozen cell of value 5 or greater.
item.crystal-ball;Crystal Ball
item.crystal-ball.description;Convert target chest into an item.
item.crystal-veins;Crystal Veins
item.crystal-veins.description;Whenever you pick up a diamond, gain 1 soul.
item.cudgel.divine;Divine Cudgel
item.cudgel.divine.description;Kill strangers and landmarks in target visible 3x3 area.
item.cudgel;Cudgel
item.cudgel.description;Kill target stranger.
item.cullstone;Cullstone
item.cullstone.description;You can use uncharged magic items, consuming them after use.
item.dagger;Dagger
item.dagger.description;Kill visible monsters. If the monster is standing on a 3 or greater, this dagger breaks.
item.dark-amulet;Dark Amulet
item.dark-amulet.description;Guarantees 3 additional Dark Hearts per stage. Collect Dark Hearts to restore 3 lives and gain a random omen.
item.dark-cloud;Dark Cloud
item.dark-cloud.description;Solve 10 cells whenever you gain or lose an omen.
item.dark-idol;Dark Idol
item.dark-idol.description;50% chance to lose 1 life at the end of each stage.
item.dark-ink;Dark Ink
item.dark-ink.description;Transform a random omen into a random omen.
item.dark-ink.divine;Divine Dark Ink
item.dark-ink.divine.description;Destroy a random omen and lose lives equal to its position in your inventory.
item.dawn-binder;Dawn Binder
item.dawn-binder.description;The top half of each stage is Sanctified.
item.dead-rodent;Dead Rodent
item.dead-rodent.description;Hearts no longer drop.
item.deciphering-rune;Deciphering Rune
item.deciphering-rune.description;Whenever you target a visible cell with an item, solve a number of random cells equal to the value of the target.
item.deck-of-cards;Deck of Cards
item.deck-of-cards.description;Gain a random card item that you don't already have.
item.deerstalker;Deerstalker
item.deerstalker.description;[1 Head Armor] Remove all fake cell values. Cell values are always correct.
item.demolitionist-doll;Demolitionist Doll
item.demolitionist-doll.description;Spawn Barrels equal to your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.demolitionist's-memento;Demolitionist's Memento
item.demolitionist's-memento.description;Whenever you blow up an object in the Metagate, spawn a Guide.
item.demon-seed.divine;Divine Demon Seed
item.demon-seed.divine.description;Add a random stage mod to the selected stage for each of your omens. Then, lose all omens.
item.demon-seed;Demon Seed
item.demon-seed.description;Add a random stage mod to the selected stage. Then, gain souls equal to your number of omens.
item.demon-snare;Demon Snare
item.demon-snare.description;Flag all hidden monsters in target 7x7 area. Kill all visible monsters in this area. Remove the last boss mod from each boss in this area.
item.dentures;Dentures
item.dentures.description;Elders are more common. You may right click an Elder to charge your mastery instead.
item.dessert;Dessert
item.dessert.description;Automatically discharges whenever a status effect expires. Gain the same status effect.
item.detective-doll;Detective Doll
item.detective-doll.description;Solve 3 cells times your mastery charges at the start of each stage, and when your ultimate ability is activated.
item.detective's-memento;Detective's Memento
item.detective's-memento.description;Spawn a Guide when you activate your mastery.
item.diamond-amulet;Diamond Amulet
item.diamond-amulet.description;Doubles your chance to find diamonds.
item.diamond-boots;Diamond Boots
item.diamond-boots.description;[6 Leg Armor] Every 30 turns, spawn a number of diamonds equal to the value of the cell you just clicked on.
item.diamond-chalice;Diamond Chalice
item.diamond-chalice.description;Every 50 cells opened, spawn a diamond.
item.diamond-chestplate;Diamond Chestplate
item.diamond-chestplate.description;[14 Body Armor] Fortify by 2 whenever you collect a diamond.
item.diamond-helmet;Diamond Helmet
item.diamond-helmet.description;[8 Head Armor] Spawn a diamond whenever this armor takes 2 or more damage. Fortify by 1 whenever you collect a diamond.
item.diamond-ring;Diamond Ring
item.diamond-ring.description;Slightly increases your chance to find diamonds.
item.diamond-rod;Diamond Rod
item.diamond-rod.description;Convert all visible loot to diamonds.
item.dice;Dice
item.dice.description;Rerolls the mods on a selected stage, guaranteeing at least one stage mod.
item.dice.divine;Divine Dice
item.dice.divine.description;Rerolls the mods of all stages.
item.dire-potion;Dire Potion
item.dire-potion.description;25% chance to gain a revive. Otherwise, well... you don't want to know.
item.directions;Directions
item.directions.description;Gain 2% pathfinding whenever a sign spawns.
item.dirty-soap;Dirty Soap
item.dirty-soap.description;Orbs explode in a 3x3 area when clicked. Spawn 3 Cankers when you gain this item.
item.disco-ball;Disco Ball
item.disco-ball.description;Gain 30% evasion. When you successfully evade, relocate visible monsters to random cells and pass 3 turns.
item.dizzy-stars;Dizzy Stars
item.dizzy-stars.description;Double the value of a random cell each stage.
item.doctor-medal;Doctor Medal
item.doctor-medal.description;Stages have an additional Doctor.
item.dog-food;Dog Food
item.dog-food.description;Upgrade your Minions, or gain a Minion if you don't have any.
item.dog-tag;Dog Tag
item.dog-tag.description;When you enter a stage, gain souls equal to your number of Minions. If you don't have any, gain a Minion instead.
