key;en
beyond.emblem.pumpkin-patch.lore;Trick or treat, monsters cheat!
beyond.emblem.rabbit-hole;Rabbit Hole
beyond.emblem.rabbit-hole.lore;That's one deep hole.
beyond.emblem.reclamation;Reclamation
beyond.emblem.reclamation.lore;Gone today, here tomorrow.
beyond.emblem.the-descent;The Descent
beyond.emblem.the-descent.lore;Tunnels all the way down.
beyond.emblem.tornado-alley;Tornado Alley
beyond.emblem.tornado-alley.lore;This blows.
beyond.emblem.wester-side-story;Wester Side Story
beyond.emblem.wester-side-story.lore;A gang that don't own the street is nothin'!
beyond.emblem.whispers-of-wisdom;Whispers of Wisdom
beyond.emblem.whispers-of-wisdom.lore;Listen to silence. It has much to say.
beyond.emblem.all-bark;All Bark
beyond.emblem.all-bark.lore;Some bite.
beyond.emblem.blood-of-the-heretic;Blood of the Heretic
beyond.emblem.blood-of-the-heretic.lore;Put everything on the line.
beyond.emblem.cosmic-hysteria;Cosmic Hysteria
beyond.emblem.cosmic-hysteria.lore;No great mind has ever existed without a touch of madness.
beyond.emblem.den-of-thieves;Den of Thieves
beyond.emblem.den-of-thieves.lore;You will not survive in the land of wolves.
beyond.emblem.dread-harvest;Dread Harvest
beyond.emblem.dread-harvest.lore;The time has come to collect.
beyond.emblem.elemental-triumvirate;Elemental Triumvirate
beyond.emblem.elemental-triumvirate.lore;The mind is not a vessel to be filled but a fire to be kindled.
beyond.emblem.evil-dealings;Evil Dealings
beyond.emblem.evil-dealings.lore;You ever dance with the devil?
beyond.emblem.foam-at-the-mouth;Foam at the Mouth
beyond.emblem.foam-at-the-mouth.lore;No such thing as too many bubbles.
beyond.emblem.global-warming;Global Warming
beyond.emblem.global-warming.lore;We didn't start the fire.
beyond.emblem.heavy-chains;Heavy Chains
beyond.emblem.heavy-chains.lore;We forge the chains we wear in life.
beyond.emblem.hivemind;Hivemind
beyond.emblem.hivemind.lore;The colony must go on.
beyond.emblem.ice-age;Ice Age
beyond.emblem.ice-age.lore;Bring a coat.
beyond.emblem.original-sin;Original Sin
beyond.emblem.original-sin.lore;Beware the serpent.
beyond.emblem.shell-shocked;Shell Shocked
beyond.emblem.shell-shocked.lore;Are you good at solving passwords?
beyond.emblem.sky-song;Sky Song
beyond.emblem.sky-song.lore;There is a tension in the harmony of opposites.
beyond.emblem.solidarity;Solidarity
beyond.emblem.solidarity.lore;One for all, and all for one.
beyond.emblem.spawn-of-satan;Spawn of Satan
beyond.emblem.spawn-of-satan.lore;The greatest trick the Devil ever pulled was convincing the world he didn't exist.
beyond.emblem.the-boneyard;The Boneyard
beyond.emblem.the-boneyard.lore;We crawl in the land of the dead.
beyond.emblem.tide-jewel;Tide Jewel
beyond.emblem.tide-jewel.lore;A remembrance of past worlds.
beyond.emblem.true-sight;True Sight
beyond.emblem.true-sight.lore;Ultimate power may seep through the cracks.
beyond.emblem.utopia;Utopia
beyond.emblem.utopia.lore;The lie became the truth.
beyond.emblem.wild-west;Wild West
beyond.emblem.wild-west.lore;What do you know of the fisticuffs?
beyond.emblem.murderous-intent;Murderous Intent
beyond.emblem.murderous-intent.lore;Hide the bodies.
beyond.emblem.paroxysm;Paroxysm
beyond.emblem.paroxysm.lore;It evolves.
beyond.emblem.reality-check;Reality Check
beyond.emblem.reality-check.lore;Life is a matter of perspective.
beyond.emblem.sacred-ground;Sacred Ground
beyond.emblem.sacred-ground.lore;Lands unspoiled.
beyond.emblem.sawmill;Sawmill
beyond.emblem.sawmill.lore;Watch your fingers.
beyond.emblem.sleep-paralysis;Sleep Paralysis
beyond.emblem.sleep-paralysis.lore;Blurring the line between dreams and reality.
beyond.emblem.the-ascent;The Ascent
beyond.emblem.the-ascent.lore;You have learned to crawl, but now you must learn to climb.
beyond.emblem.two-spirits;Two Spirits
beyond.emblem.two-spirits.lore;The dance of light and dark.

beyond.glint.treasure-glint;Treasure Glint
beyond.glint.treasure-glint.description.1;
beyond.glint.treasure-glint.description.2;Plus 1 guaranteed token per stage
beyond.glint.treasure-glint.description.3;Plus 2 guaranteed chests per stage
beyond.glint.treasure-glint.description.4;Plus 3 guaranteed diamonds per stage
beyond.glint.atlas-glint;Atlas Glint
beyond.glint.atlas-glint.description.1;
beyond.glint.atlas-glint.description.2;Unlock all stages at the start of the quest
beyond.glint.bountiful-glint;Bountiful Glint
beyond.glint.bountiful-glint.description.1;
beyond.glint.bountiful-glint.description.2;Your prizebox will contain 2 extra rewards
beyond.glint.bargain-glint;Bargain Glint
beyond.glint.bargain-glint.description.1;
beyond.glint.bargain-glint.description.2;Your quest will contain 1 extra Item Shop
beyond.glint.astral-glint;Astral Glint
beyond.glint.astral-glint.description.1;
beyond.glint.astral-glint.description.2;Your quest will contain 3 Starponds
beyond.glint.lavish-glint;Lavish Glint
beyond.glint.lavish-glint.description.1;
beyond.glint.lavish-glint.description.2;Gain a Present at the start of the quest
beyond.glint.golden-glint;Golden Glint
beyond.glint.golden-glint.description.1;
beyond.glint.golden-glint.description.2;Begin the quest with 20 extra coins
beyond.glint.heavenly-glint;Heavenly Glint
beyond.glint.heavenly-glint.description.1;
beyond.glint.heavenly-glint.description.2;Begin the quest with an extra Revive
beyond.glint.mastery-glint;Mastery Glint
beyond.glint.mastery-glint.description.1;
beyond.glint.mastery-glint.description.2;Begin the quest with a fully-charged Mastery
beyond.glint.medical-glint;Medical Glint
beyond.glint.medical-glint.description.1;
beyond.glint.medical-glint.description.2;Gain a Health Potion at the start of the quest
beyond.glint.medical-glint.description.3;Gain a Mana Potion at the start of the quest
beyond.glint.earthen-glint;Earthen Glint
beyond.glint.earthen-glint.description.1;
beyond.glint.earthen-glint.description.2;Remove 2 Stage Mods from the final stage of the quest
beyond.glint.iron-glint;Iron Glint
beyond.glint.iron-glint.description.1;
beyond.glint.iron-glint.description.2;Begin the quest with 2 Defense
beyond.glint.shadowy-glint;Shadowy Glint
beyond.glint.shadowy-glint.description.1;
beyond.glint.shadowy-glint.description.2;Remove a Boss mod
beyond.glint.shadowy-glint.description.3;Remove any Dark Hearts that spawn with the boss
beyond.glint.scary-glint;Scary Glint
beyond.glint.scary-glint.description.1;
beyond.glint.scary-glint.description.2;Remove 10 monsters from each stage
beyond.glint.sainted-glint;Sainted Glint
beyond.glint.sainted-glint.description.1;
beyond.glint.sainted-glint.description.2;The first stage gains a random positive mod
beyond.glint.special-glint;Special Glint
beyond.glint.special-glint.description.1;
beyond.glint.special-glint.description.2;Quadruple your chance to find Special Chests
beyond.glint.weakening-glint;Weakening Glint
beyond.glint.weakening-glint.description.1;
beyond.glint.weakening-glint.description.2;Reduce the stage power of all stages by 1
beyond.glint.friendly-glint;Friendly Glint
beyond.glint.friendly-glint.description.1;
beyond.glint.friendly-glint.description.2;Spawn 5 strangers in bubbles at the start of the quest
beyond.glint.forward-glint;Forward Glint
beyond.glint.forward-glint.description.1;
beyond.glint.forward-glint.description.2;Begin the quest with 50 cells opened since your last mistake
beyond.glint.forward-glint.description.3;Begin the quest with 3 omens destroyed
beyond.glint.forward-glint.description.4;Begin the quest with 3 chests opened
beyond.glint.duplication-glint;Duplication Glint
beyond.glint.duplication-glint.description.1;
beyond.glint.duplication-glint.description.2;Your quest will contain an additional copy of the first stage.
beyond.glint.geo-glint;Geo Glint
beyond.glint.geo-glint.description.1;
beyond.glint.geo-glint.description.2;Gain 5% pathfinding at the start of the quest.
beyond.glint.mega-glint;Mega Glint
beyond.glint.mega-glint.description.1;
beyond.glint.mega-glint.description.2;Reduce the cost of your quest by half
